entity_type,entity_id,timestamp,attributes,lastfm_username,gender,age,country,playcount,playlists,subscribertype
user,38921,1216406055,"{'lastfm_username': 'xShandyx', 'gender': 'f', 'age': 25, 'country': 'US', 'playcount': 37383, 'playlists': 3, 'subscribertype': 'base'}",xShandyx,f,25,US,37383,3,base
user,38034,1253962842,"{'lastfm_username': 'WarriorWithin84', 'gender': 'm', 'age': 30, 'country': 'DE', 'playcount': 207571, 'playlists': 16, 'subscribertype': 'base'}",WarriorWithin84,m,30,DE,207571,16,base
user,19357,1260605678,"{'lastfm_username': 'kuudew', 'gender': 'f', 'age': 23, 'country': 'ID', 'playcount': 29530, 'playlists': 2, 'subscribertype': 'base'}",kuudew,f,23,ID,29530,2,base
user,43975,1235215138,"{'lastfm_username': 'Elvira_Khan', 'gender': 'f', 'age': 23, 'country': 'RU', 'playcount': 560, 'playlists': 4, 'subscribertype': 'base'}",Elvira_Khan,f,23,RU,560,4,base
user,39490,1342196899,"{'lastfm_username': 'zaq2424', 'gender': 'm', 'age': 22, 'country': 'PL', 'playcount': 240, 'playlists': 2, 'subscribertype': 'base'}",zaq2424,m,22,PL,240,2,base
user,25696,1220166388,"{'lastfm_username': 'n-gt_MfL', 'gender': 'm', 'age': 49, 'country': 'ES', 'playcount': 34222, 'playlists': 6, 'subscribertype': 'base'}",n-gt_MfL,m,49,ES,34222,6,base
user,20208,1224393460,"{'lastfm_username': 'lheard', 'gender': 'f', 'age': 50, 'country': 'US', 'playcount': 112925, 'playlists': 2, 'subscribertype': 'base'}",lheard,f,50,US,112925,2,base
user,31945,1153163541,"{'lastfm_username': 'Sh3lly', 'gender': 'f', 'age': 37, 'country': 'US', 'playcount': 3728, 'playlists': 2, 'subscribertype': 'base'}",Sh3lly,f,37,US,3728,2,base
user,36867,1162898907,"{'lastfm_username': 'umnep', 'gender': 'f', 'age': 26, 'country': 'RU', 'playcount': 57993, 'playlists': 2, 'subscribertype': 'base'}",umnep,f,26,RU,57993,2,base
user,35188,1155120840,"{'lastfm_username': 'theafter', 'gender': 'm', 'age': 38, 'country': 'BE', 'playcount': 41389, 'playlists': 3, 'subscribertype': 'base'}",theafter,m,38,BE,41389,3,base
user,2493,1110659769,"{'lastfm_username': 'ascarida', 'gender': 'n', 'age': 36, 'country': '', 'playcount': 208944, 'playlists': 2, 'subscribertype': 'base'}",ascarida,n,36,,208944,2,base
user,42921,1208898154,"{'lastfm_username': 'nippelspitz', 'gender': 'm', 'age': 38, 'country': 'DE', 'playcount': 22467, 'playlists': 4, 'subscribertype': 'base'}",nippelspitz,m,38,DE,22467,4,base
user,35857,1118507607,"{'lastfm_username': 'Timsta789', 'gender': 'm', 'age': 25, 'country': 'US', 'playcount': 68883, 'playlists': 3, 'subscribertype': 'base'}",Timsta789,m,25,US,68883,3,base
user,31522,1232202707,"{'lastfm_username': 'SCORBON000', 'gender': 'm', 'age': 26, 'country': 'CO', 'playcount': 100272, 'playlists': 3, 'subscribertype': 'base'}",SCORBON000,m,26,CO,100272,3,base
user,11052,1169563431,"{'lastfm_username': 'fabisz', 'gender': 'm', 'age': 24, 'country': 'PL', 'playcount': 49368, 'playlists': 5, 'subscribertype': 'base'}",fabisz,m,24,PL,49368,5,base
user,1695,1107292678,"{'lastfm_username': 'andyjohnson170', 'gender': 'm', 'age': 29, 'country': 'US', 'playcount': 307083, 'playlists': 2, 'subscribertype': 'base'}",andyjohnson170,m,29,US,307083,2,base
user,41216,1237852113,"{'lastfm_username': 'vospominaniye', 'gender': 'm', 'age': 26, 'country': 'US', 'playcount': 97780, 'playlists': 2, 'subscribertype': 'base'}",vospominaniye,m,26,US,97780,2,base
user,8233,1254573636,"{'lastfm_username': 'derhasi', 'gender': 'm', 'age': 30, 'country': 'DE', 'playcount': 40333, 'playlists': 3, 'subscribertype': 'base'}",derhasi,m,30,DE,40333,3,base
user,862,1221332922,"{'lastfm_username': 'alanis85', 'gender': 'f', 'age': 29, 'country': 'ES', 'playcount': 43767, 'playlists': 2, 'subscribertype': 'base'}",alanis85,f,29,ES,43767,2,base
user,4926,1124365516,"{'lastfm_username': 'buterux', 'gender': 'm', 'age': 24, 'country': '', 'playcount': 79767, 'playlists': 2, 'subscribertype': 'base'}",buterux,m,24,,79767,2,base
user,12893,1139418514,"{'lastfm_username': 'Gibssy', 'gender': 'f', 'age': 27, 'country': 'ES', 'playcount': 15796, 'playlists': 2, 'subscribertype': 'base'}",Gibssy,f,27,ES,15796,2,base
user,44450,1103671198,"{'lastfm_username': 'brrtha', 'gender': 'f', 'age': 41, 'country': 'US', 'playcount': 72534, 'playlists': 2, 'subscribertype': 'base'}",brrtha,f,41,US,72534,2,base
user,10666,1300548756,"{'lastfm_username': 'esbepe', 'gender': 'm', 'age': 23, 'country': 'ID', 'playcount': 21221, 'playlists': 2, 'subscribertype': 'base'}",esbepe,m,23,ID,21221,2,base
user,3183,1253673054,"{'lastfm_username': 'barbaralaco', 'gender': 'f', 'age': 19, 'country': 'US', 'playcount': 23756, 'playlists': 3, 'subscribertype': 'base'}",barbaralaco,f,19,US,23756,3,base
user,678,1120089593,"{'lastfm_username': 'ahvostik', 'gender': 'm', 'age': 29, 'country': 'US', 'playcount': 43047, 'playlists': 4, 'subscribertype': 'base'}",ahvostik,m,29,US,43047,4,base
user,5895,1145983193,"{'lastfm_username': 'chicuco', 'gender': 'm', 'age': 38, 'country': 'CL', 'playcount': 53844, 'playlists': 2, 'subscribertype': 'base'}",chicuco,m,38,CL,53844,2,base
user,37159,1174893525,"{'lastfm_username': 'valentin10', 'gender': 'm', 'age': 32, 'country': 'FR', 'playcount': 3463, 'playlists': 2, 'subscribertype': 'base'}",valentin10,m,32,FR,3463,2,base
user,27425,1179093410,"{'lastfm_username': 'past13', 'gender': 'm', 'age': 28, 'country': 'LT', 'playcount': 16514, 'playlists': 4, 'subscribertype': 'base'}",past13,m,28,LT,16514,4,base
user,16671,1268237669,"{'lastfm_username': 'JessicaOuhshit', 'gender': 'f', 'age': 17, 'country': 'ES', 'playcount': 109967, 'playlists': 2, 'subscribertype': 'base'}",JessicaOuhshit,f,17,ES,109967,2,base
user,6587,1202217012,"{'lastfm_username': 'Conreeaght', 'gender': 'f', 'age': 26, 'country': 'PL', 'playcount': 82241, 'playlists': 3, 'subscribertype': 'base'}",Conreeaght,f,26,PL,82241,3,base
user,34799,1266669340,"{'lastfm_username': 'tasiemiec93', 'gender': 'm', 'age': 21, 'country': 'PL', 'playcount': 140626, 'playlists': 2, 'subscribertype': 'base'}",tasiemiec93,m,21,PL,140626,2,base
user,26231,1239026097,"{'lastfm_username': 'nothing819', 'gender': 'f', 'age': 26, 'country': 'CN', 'playcount': 40814, 'playlists': 5, 'subscribertype': 'base'}",nothing819,f,26,CN,40814,5,base
user,38619,1262213236,"{'lastfm_username': 'wutangsecret', 'gender': 'f', 'age': 16, 'country': 'JP', 'playcount': 4738, 'playlists': 2, 'subscribertype': 'base'}",wutangsecret,f,16,JP,4738,2,base
user,4844,1151159911,"{'lastfm_username': 'Bumblebeeasaur', 'gender': 'm', 'age': 23, 'country': 'US', 'playcount': 23694, 'playlists': 2, 'subscribertype': 'base'}",Bumblebeeasaur,m,23,US,23694,2,base
user,34882,1146787940,"{'lastfm_username': 'tcaravan', 'gender': 'm', 'age': 34, 'country': 'US', 'playcount': 110326, 'playlists': 2, 'subscribertype': 'base'}",tcaravan,m,34,US,110326,2,base
user,11438,1335479041,"{'lastfm_username': 'Fernandoxp', 'gender': 'm', 'age': 21, 'country': '', 'playcount': 9451, 'playlists': 2, 'subscribertype': 'base'}",Fernandoxp,m,21,,9451,2,base
user,13624,1341328968,"{'lastfm_username': 'gryzlova_alina', 'gender': 'f', 'age': 20, 'country': 'RU', 'playcount': 1453, 'playlists': 2, 'subscribertype': 'base'}",gryzlova_alina,f,20,RU,1453,2,base
user,8676,1281305269,"{'lastfm_username': 'Divasworld', 'gender': 'n', 'age': 50, 'country': 'US', 'playcount': 9647, 'playlists': 2, 'subscribertype': 'base'}",Divasworld,n,50,US,9647,2,base
user,5124,1284325989,"{'lastfm_username': 'camilamazing', 'gender': 'f', 'age': 21, 'country': 'US', 'playcount': 9283, 'playlists': 2, 'subscribertype': 'base'}",camilamazing,f,21,US,9283,2,base
